target,model_class,model,feature_group,ticker,rmse,mae,r2
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLE,0.006123625998094681,0.003872751397478232,-0.05347578709758127
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu,baseline_plus_epu,XLE,0.006198329871016959,0.004179390276531202,-0.0793358757139715
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLE,0.006208331363851912,0.004177038828434742,-0.08282187259343354
future_vol_21d,XGBoost,XGBoost | baseline_plus_emeu,baseline_plus_emeu,XLE,0.0062891194770485215,0.004205350366557931,-0.11118643868769751
future_vol_21d,XGBoost,XGBoost | baseline,baseline,XLE,0.0063186475251229245,0.00389695932855275,-0.1216451976805002
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_epu,baseline_plus_vix_epu,XLF,0.004547880022499278,0.0032926478449514097,-0.01801797713122477
future_vol_21d,Linear Regression,Linear Regression | baseline,baseline,XLF,0.004557570667995866,0.003447392395596084,-0.022360994862609562
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu,baseline_plus_epu,XLF,0.00457619329410743,0.003408076913750526,-0.030732974384067857
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix,baseline_plus_vix,XLF,0.004615865204316191,0.003442488082542689,-0.04868168853170096
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLF,0.004904284776837888,0.0034301100757601326,-0.18382855119397146
future_vol_21d,Linear Regression,Linear Regression | full_uncertainty,full_uncertainty,XLF,0.00492062379896498,0.003436842228148934,-0.19172973250597236
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_emeu,baseline_plus_emeu,XLF,0.005247033266646684,0.003732096333356486,-0.35508046500182644
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLF,0.005265016320936254,0.003739427906441846,-0.36438486356188604
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu_emeu,baseline_plus_epu_emeu,XLF,0.004630020065543391,0.0033410863874710752,-0.05512325607788782
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu,baseline_plus_epu,XLF,0.004710075093963148,0.0034132551202968684,-0.09192575987186835
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_epu,baseline_plus_vix_epu,XLF,0.004808121933557522,0.003234157138154129,-0.13785885799644992
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix,baseline_plus_vix,XLF,0.004816112079207761,0.0032609828819565407,-0.1416437920714726
future_vol_21d,Random Forest,Random Forest | baseline_plus_emeu,baseline_plus_emeu,XLF,0.004820667955237302,0.0033558843474877937,-0.14380472502863206
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_emeu,baseline_plus_vix_emeu,XLF,0.004871244289819702,0.0033935022177334316,-0.16793122224652324
future_vol_21d,Random Forest,Random Forest | full_uncertainty,full_uncertainty,XLF,0.0049008447634512065,0.0033782187881649392,-0.1821683874793314
future_vol_21d,Random Forest,Random Forest | baseline,baseline,XLF,0.00499747023256849,0.0033599877553082197,-0.2292433881537057
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_epu,baseline_plus_vix_epu,XLF,0.004614690833845638,0.0033559816150120375,-0.04814814429289105
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu,baseline_plus_epu,XLF,0.00482698068708977,0.0035133704429291517,-0.14680234290306404
future_vol_21d,XGBoost,XGBoost | baseline,baseline,XLF,0.004913974361074297,0.0033350766016409274,-0.1885110436052837
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix,baseline_plus_vix,XLF,0.004940857155254311,0.0034083630909708712,-0.20155054724464727
