target,model_class,model,feature_group,n_features_raw,rmse,mae,r2,baseline_rmse,baseline_mae,baseline_r2,rmse_change_vs_model_baseline,rmse_pct_change_vs_model_baseline,improves_model_baseline
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix,baseline_plus_vix,13,0.0044375612311484,0.0029321055806172,0.3296605729782595,0.004440102409549,0.003005215136314,0.3288926107003505,-2.54117840059985e-06,-0.05723242768308058,True
future_vol_21d,Linear Regression,Linear Regression | baseline,baseline,8,0.004440102409549,0.003005215136314,0.3288926107003505,0.004440102409549,0.003005215136314,0.3288926107003505,0.0,0.0,False
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu,baseline_plus_epu,13,0.0044902075029232,0.003020037568759,0.3136606976134977,0.004440102409549,0.003005215136314,0.3288926107003505,5.0105093374199806e-05,1.128467065679442,False
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_epu,baseline_plus_vix_epu,18,0.0045019013294907,0.0029215195455917,0.3100811820953056,0.004440102409549,0.003005215136314,0.3288926107003505,6.179891994170014e-05,1.391835463272058,False
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_vix_emeu,baseline_plus_vix_emeu,18,0.0048912874276531,0.003164856147686,0.1855725280332844,0.004440102409549,0.003005215136314,0.3288926107003505,0.0004511850181040996,10.161590352820902,False
future_vol_21d,Linear Regression,Linear Regression | full_uncertainty,full_uncertainty,23,0.0049141817151885,0.0031836947482167,0.1779306244006654,0.004440102409549,0.003005215136314,0.3288926107003505,0.00047407930563949947,10.67721556646829,False
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_emeu,baseline_plus_emeu,13,0.0050832634471581,0.0033685376518891,0.1203877217988187,0.004440102409549,0.003005215136314,0.3288926107003505,0.0006431610376090996,14.48527484919944,False
future_vol_21d,Linear Regression,Linear Regression | baseline_plus_epu_emeu,baseline_plus_epu_emeu,18,0.0050993317369216,0.0033782687933228,0.1148179913226834,0.004440102409549,0.003005215136314,0.3288926107003505,0.0006592293273725994,14.847164920224444,False
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu_emeu,baseline_plus_epu_emeu,18,0.0044563436414775,0.0031459727780558,0.3239740100348626,0.0048077896431996,0.0030783510124839,0.2131409183421857,-0.00035144600172209994,-7.3099288405682294,True
future_vol_21d,Random Forest,Random Forest | baseline_plus_epu,baseline_plus_epu,13,0.0045829580876725,0.0031179734668809,0.2850135398422155,0.0048077896431996,0.0030783510124839,0.2131409183421857,-0.0002248315555271,-4.676401677538326,True
future_vol_21d,Random Forest,Random Forest | baseline_plus_emeu,baseline_plus_emeu,13,0.0046574685159222,0.0031700789519382,0.2615758324607152,0.0048077896431996,0.0030783510124839,0.2131409183421857,-0.00015032112727740056,-3.1266161465700346,True
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_epu,baseline_plus_vix_epu,18,0.0046845059833753,0.0030349280667775,0.2529775692900037,0.0048077896431996,0.0030783510124839,0.2131409183421857,-0.0001232836598243003,-2.5642482091261924,True
future_vol_21d,Random Forest,Random Forest | full_uncertainty,full_uncertainty,23,0.0047435826817499,0.0031414426422087,0.2340172380399968,0.0048077896431996,0.0030783510124839,0.2131409183421857,-6.420696144970005e-05,-1.3354777603574624,True
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix,baseline_plus_vix,13,0.0047948078491085,0.0030446460810577,0.2173844699477185,0.0048077896431996,0.0030783510124839,0.2131409183421857,-1.298179409109975e-05,-0.27001585041188125,True
future_vol_21d,Random Forest,Random Forest | baseline,baseline,8,0.0048077896431996,0.0030783510124839,0.2131409183421857,0.0048077896431996,0.0030783510124839,0.2131409183421857,0.0,0.0,False
future_vol_21d,Random Forest,Random Forest | baseline_plus_vix_emeu,baseline_plus_vix_emeu,18,0.0048183501332233,0.0031484372960101,0.2096803910345135,0.0048077896431996,0.0030783510124839,0.2131409183421857,1.0560490023700173e-05,0.21965374543034566,False
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_epu,baseline_plus_vix_epu,18,0.0045938362620822,0.003134661656032,0.2816153075428906,0.0047661051757305,0.0030250866347774,0.2267262096707827,-0.00017226891364829997,-3.6144589197383024,True
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu,baseline_plus_epu,13,0.0046760951536948,0.0032169644049104,0.2556576546418145,0.0047661051757305,0.0030250866347774,0.2267262096707827,-9.001002203570026e-05,-1.8885446022895298,True
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix,baseline_plus_vix,13,0.0047176461006588,0.0030035830538193,0.242370696522867,0.0047661051757305,0.0030250866347774,0.2267262096707827,-4.845907507170042e-05,-1.0167437201860134,True
future_vol_21d,XGBoost,XGBoost | baseline,baseline,8,0.0047661051757305,0.0030250866347774,0.2267262096707827,0.0047661051757305,0.0030250866347774,0.2267262096707827,0.0,0.0,False
future_vol_21d,XGBoost,XGBoost | baseline_plus_emeu,baseline_plus_emeu,13,0.0047881339770899,0.0032698365614124,0.2195615919777865,0.0047661051757305,0.0030250866347774,0.2267262096707827,2.202880135940017e-05,0.4621971305117877,False
future_vol_21d,XGBoost,XGBoost | baseline_plus_epu_emeu,baseline_plus_epu_emeu,18,0.0048167356633742,0.0033178841829953,0.210209922256075,0.0047661051757305,0.0030250866347774,0.2267262096707827,5.063048764370002e-05,1.062303196780375,False
future_vol_21d,XGBoost,XGBoost | full_uncertainty,full_uncertainty,23,0.0049711668464717,0.0033404365702644,0.1587545552569563,0.0047661051757305,0.0030250866347774,0.2267262096707827,0.00020506167074119987,4.302499906745556,False
future_vol_21d,XGBoost,XGBoost | baseline_plus_vix_emeu,baseline_plus_vix_emeu,18,0.0049997788523412,0.003204761833921,0.1490429571209474,0.0047661051757305,0.0030250866347774,0.2267262096707827,0.00023367367661069997,4.902822493313628,False
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_vix,baseline_plus_vix,13,0.0056110762385989,0.0039292260162058,0.3184237705812491,0.0057556236692185,0.0040033449391389,0.2828551627433753,-0.00014454743061959995,-2.511412123635711,True
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_vix_epu,baseline_plus_vix_epu,18,0.0056148044635381,0.0039117752942559,0.3175177363080266,0.0057556236692185,0.0040033449391389,0.2828551627433753,-0.0001408192056803993,-2.4466367812320806,True
future_vol_5d,Linear Regression,Linear Regression | baseline,baseline,8,0.0057556236692185,0.0040033449391389,0.2828551627433753,0.0057556236692185,0.0040033449391389,0.2828551627433753,0.0,0.0,False
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_epu,baseline_plus_epu,13,0.005771262370796,0.0040341297247192,0.2789527357376138,0.0057556236692185,0.0040033449391389,0.2828551627433753,1.56387015775002e-05,0.27171167672301316,False
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_vix_emeu,baseline_plus_vix_emeu,18,0.0058338892291663,0.0040496610710264,0.2632189388023681,0.0057556236692185,0.0040033449391389,0.2828551627433753,7.826555994780004e-05,1.3598102385736237,False
future_vol_5d,Linear Regression,Linear Regression | full_uncertainty,full_uncertainty,23,0.0058733328111138,0.0040873995666786,0.2532223391665171,0.0057556236692185,0.0040033449391389,0.2828551627433753,0.00011770914189529989,2.0451153282452617,False
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_emeu,baseline_plus_emeu,13,0.0063725863371199,0.0044257445634382,0.1208690846216758,0.0057556236692185,0.0040033449391389,0.2828551627433753,0.0006169626679014004,10.71930173616045,False
future_vol_5d,Linear Regression,Linear Regression | baseline_plus_epu_emeu,baseline_plus_epu_emeu,18,0.0064247989866981,0.004459148027606,0.1064040633889089,0.0057556236692185,0.0040033449391389,0.2828551627433753,0.0006691753174796,11.626460587727426,False
future_vol_5d,Random Forest,Random Forest | baseline_plus_vix,baseline_plus_vix,13,0.0056401815498905,0.003962978940237,0.3113346001008927,0.0057770574097475,0.003970075480891,0.2775039730338917,-0.00013687585985700055,-2.3693006689885574,True
future_vol_5d,Random Forest,Random Forest | baseline_plus_vix_emeu,baseline_plus_vix_emeu,18,0.0057425703603239,0.0040205042383215,0.2861043320707549,0.0057770574097475,0.003970075480891,0.2775039730338917,-3.448704942360034e-05,-0.5969656691555654,True
future_vol_5d,Random Forest,Random Forest | baseline_plus_vix_epu,baseline_plus_vix_epu,18,0.0057513553684928,0.0040655887440405,0.2839184201794673,0.0057770574097475,0.003970075480891,0.2775039730338917,-2.570204125470002e-05,-0.444898491251507,True
future_vol_5d,Random Forest,Random Forest | baseline,baseline,8,0.0057770574097475,0.003970075480891,0.2775039730338917,0.0057770574097475,0.003970075480891,0.2775039730338917,0.0,0.0,False
future_vol_5d,Random Forest,Random Forest | full_uncertainty,full_uncertainty,23,0.0057843212142485,0.0040878463852967,0.2756859647088284,0.0057770574097475,0.003970075480891,0.2775039730338917,7.26380450100008e-06,0.1257353698570491,False
future_vol_5d,Random Forest,Random Forest | baseline_plus_emeu,baseline_plus_emeu,13,0.0058374977357897,0.0041023454481543,0.2623071965708792,0.0057770574097475,0.003970075480891,0.2775039730338917,6.044032604219946e-05,1.04621300699245,False
future_vol_5d,Random Forest,Random Forest | baseline_plus_epu,baseline_plus_epu,13,0.0058541247084271,0.0040871699325622,0.2580988639276454,0.0057770574097475,0.003970075480891,0.2775039730338917,7.706729867959939e-05,1.334023417346787,False
future_vol_5d,Random Forest,Random Forest | baseline_plus_epu_emeu,baseline_plus_epu_emeu,18,0.0058621715037152,0.0041424317205211,0.2560578997019129,0.0057770574097475,0.003970075480891,0.2775039730338917,8.511409396769979e-05,1.4733122406588635,False
future_vol_5d,XGBoost,XGBoost | baseline_plus_vix,baseline_plus_vix,13,0.005617944949187,0.0038701572682011,0.3167540676268771,0.0057897955058842,0.003953376897173,0.2743143318378861,-0.00017185055669719992,-2.9681628051033457,True
future_vol_5d,XGBoost,XGBoost | baseline_plus_vix_epu,baseline_plus_vix_epu,18,0.0056930128712646,0.0039926946691447,0.2983727824129104,0.0057897955058842,0.003953376897173,0.2743143318378861,-9.678263461960004e-05,-1.6716071322594956,True
future_vol_5d,XGBoost,XGBoost | full_uncertainty,full_uncertainty,23,0.0057560861716369,0.0040055724039568,0.2827399034536685,0.0057897955058842,0.003953376897173,0.2743143318378861,-3.3709334247300667e-05,-0.5822197729270695,True
future_vol_5d,XGBoost,XGBoost | baseline,baseline,8,0.0057897955058842,0.003953376897173,0.2743143318378861,0.0057897955058842,0.003953376897173,0.2743143318378861,0.0,0.0,False
future_vol_5d,XGBoost,XGBoost | baseline_plus_vix_emeu,baseline_plus_vix_emeu,18,0.0058103441653738,0.0039319768201347,0.2691541047952883,0.0057897955058842,0.003953376897173,0.2743143318378861,2.0548659489599656e-05,0.3549116625745407,False
future_vol_5d,XGBoost,XGBoost | baseline_plus_epu,baseline_plus_epu,13,0.0059188943674513,0.0041184041872891,0.2415913544641119,0.0057897955058842,0.003953376897173,0.2743143318378861,0.00012909886156710002,2.2297654802470337,False
future_vol_5d,XGBoost,XGBoost | baseline_plus_epu_emeu,baseline_plus_epu_emeu,18,0.0059478279119808,0.0041505368218082,0.2341585190624848,0.0057897955058842,0.003953376897173,0.2743143318378861,0.00015803240609659971,2.729498925065497,False
future_vol_5d,XGBoost,XGBoost | baseline_plus_emeu,baseline_plus_emeu,13,0.0060137992753444,0.0042053193570468,0.2170753744133504,0.0057897955058842,0.003953376897173,0.2743143318378861,0.00022400376946019995,3.8689409536579262,False
